
2024/11/23 (13:01:27) | ===> btop++ v.1.4.0
2024/11/23 (13:01:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (00:11:36) | ===> btop++ v.1.4.0
2024/11/25 (00:11:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (00:14:00) | ===> btop++ v.1.4.0
2024/11/25 (00:14:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (00:40:32) | ===> btop++ v.1.4.0
2024/11/27 (00:40:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (13:11:30) | ===> btop++ v.1.4.0
2024/11/30 (13:11:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (14:03:49) | ===> btop++ v.1.4.0
2024/11/30 (14:03:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (14:23:13) | ===> btop++ v.1.4.0
2024/11/30 (14:23:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (18:16:23) | ===> btop++ v.1.4.0
2024/11/30 (18:16:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (16:19:57) | ===> btop++ v.1.4.0
2024/12/02 (16:19:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (21:20:52) | ===> btop++ v.1.4.0
2024/12/02 (21:20:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (00:42:43) | ===> btop++ v.1.4.0
2024/12/03 (00:42:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (19:35:14) | ===> btop++ v.1.4.0
2024/12/03 (19:35:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (02:01:48) | ===> btop++ v.1.4.0
2024/12/08 (02:01:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (16:57:07) | ===> btop++ v.1.4.0
2024/12/09 (16:57:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (11:56:30) | ===> btop++ v.1.4.0
2024/12/13 (11:56:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (12:13:00) | ===> btop++ v.1.4.0
2024/12/13 (12:13:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (12:49:49) | ===> btop++ v.1.4.0
2024/12/13 (12:49:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (16:52:38) | ===> btop++ v.1.4.0
2024/12/13 (16:52:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (03:03:25) | ===> btop++ v.1.4.0
2024/12/14 (03:03:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (12:31:19) | ===> btop++ v.1.4.0
2024/12/14 (12:31:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (23:00:18) | ===> btop++ v.1.4.0
2024/12/16 (23:00:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (12:28:01) | ===> btop++ v.1.4.0
2024/12/20 (12:28:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (13:41:30) | ===> btop++ v.1.4.0
2024/12/20 (13:41:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (13:41:44) | ===> btop++ v.1.4.0
2024/12/20 (13:41:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (13:41:50) | ===> btop++ v.1.4.0
2024/12/20 (13:41:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (13:41:54) | ===> btop++ v.1.4.0
2024/12/20 (13:41:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (23:27:19) | ===> btop++ v.1.4.0
2024/12/21 (23:27:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (23:36:16) | ===> btop++ v.1.4.0
2024/12/21 (23:36:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (23:47:48) | ===> btop++ v.1.4.0
2024/12/21 (23:47:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (23:48:44) | ===> btop++ v.1.4.0
2024/12/21 (23:48:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:38:26) | ===> btop++ v.1.4.0
2024/12/22 (03:38:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:51:22) | ===> btop++ v.1.4.0
2024/12/22 (03:51:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (01:53:09) | ===> btop++ v.1.4.0
2024/12/23 (01:53:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:29:50) | ===> btop++ v.1.4.0
2024/12/28 (13:29:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:32:05) | ===> btop++ v.1.4.0
2024/12/28 (13:32:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (01:17:42) | ===> btop++ v.1.4.0
2024/12/29 (01:17:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (01:54:10) | ===> btop++ v.1.4.0
2024/12/30 (01:54:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (00:08:44) | ===> btop++ v.1.4.0
2025/01/06 (00:08:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (00:09:28) | ===> btop++ v.1.4.0
2025/01/06 (00:09:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (01:08:30) | ===> btop++ v.1.4.0
2025/01/09 (01:08:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (12:40:52) | ===> btop++ v.1.4.0
2025/01/11 (12:40:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (01:18:50) | ===> btop++ v.1.4.0
2025/01/12 (01:18:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:52:28) | ===> btop++ v.1.4.0
2025/01/12 (23:52:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (18:31:25) | ===> btop++ v.1.4.0
2025/01/14 (18:31:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (18:56:16) | ===> btop++ v.1.4.0
2025/01/14 (18:56:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (12:52:14) | ===> btop++ v.1.4.0
2025/01/15 (12:52:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (15:52:13) | ===> btop++ v.1.4.0
2025/01/15 (15:52:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (01:59:14) | ===> btop++ v.1.4.0
2025/01/16 (01:59:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (02:00:01) | ===> btop++ v.1.4.0
2025/01/18 (02:00:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (02:16:09) | ===> btop++ v.1.4.0
2025/01/18 (02:16:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (01:14:38) | ===> btop++ v.1.4.0
2025/01/21 (01:14:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (01:23:05) | ===> btop++ v.1.4.0
2025/01/21 (01:23:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (17:21:30) | ===> btop++ v.1.4.0
2025/01/21 (17:21:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (23:36:32) | ===> btop++ v.1.4.0
